バージョン,タイトル,ジャンル,アーティスト,プレー回数,BEGINNER 難易度,BEGINNER スコア,BEGINNER PGreat,BEGINNER Great,BEGINNER ミスカウント,BEGINNER クリアタイプ,BEGINNER DJ LEVEL,NORMAL 難易度,NORMAL スコア,NORMAL PGreat,NORMAL Great,NORMAL ミスカウント,NORMAL クリアタイプ,NORMAL DJ LEVEL,HYPER 難易度,HYPER スコア,HYPER PGreat,HYPER Great,HYPER ミスカウント,HYPER クリアタイプ,HYPER DJ LEVEL,ANOTHER 難易度,ANOTHER スコア,ANOTHER PGreat,ANOTHER Great,ANOTHER ミスカウント,ANOTHER クリアタイプ,ANOTHER DJ LEVEL,LEGGENDARIA 難易度,LEGGENDARIA スコア,LEGGENDARIA PGreat,LEGGENDARIA Great,LEGGENDARIA ミスカウント,LEGGENDARIA クリアタイプ,LEGGENDARIA DJ LEVEL,最終プレー日時
1st&substream,5.1.1.,PIANO AMBIENT,dj nagureo,5,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,FULLCOMBO CLEAR,---,6,0,0,0,---,HARD CLEAR,---,10,1415,636,143,1,FULLCOMBO CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2023-02-02 15:34
1st&substream,gentle stress,DRUM'N'BASS,DJ Swan,1,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,9,1274,565,144,2,FULLCOMBO CLEAR,AA,0,0,0,0,---,NO PLAY,---,2022-11-12 14:20
1st&substream,PARANOIA MAX～DIRTY MIX～,JUNGLE,190,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,955,427,101,4,EX HARD CLEAR,AA,0,0,0,0,---,NO PLAY,---,2022-12-27 14:51
1st&substream,R3,RAVE,tiger YAMATO,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,6,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2022-10-19 15:38
3rd style,CAN'T STOP FALLIN'IN LOVE,HYPER EUROBEAT,NAOKI,1,0,0,0,0,---,NO PLAY,---,4,535,235,65,0,FULLCOMBO CLEAR,AA,8,0,0,0,---,EX HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-01-01 16:32
3rd style,Don't Stop!,HAPPY HANDBAG,dj TAKA feat. JP Miles,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,4,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2022-10-19 15:38
3rd style,era (nostalmix),DRUM'N'BASS,TaQ,9,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,1048,495,58,0,FULLCOMBO CLEAR,AAA,9,1378,600,178,0,FULLCOMBO CLEAR,AA,0,0,0,0,---,NO PLAY,---,2023-04-07 14:24
3rd style,Holic,HARD TECHNO,TaQ,6,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,11,1354,527,300,15,EX HARD CLEAR,A,0,0,0,0,---,NO PLAY,---,2022-11-29 16:42
3rd style,LEADING CYBER,DIGI-ROCK,dj TAKA,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,1058,446,166,10,EX HARD CLEAR,AA,0,0,0,0,---,NO PLAY,---,2022-11-30 17:17
3rd style,Presto,PIANO AMBIENT,Osamu Kubota,0,0,0,0,0,---,NO PLAY,---,3,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2022-10-19 15:38
3rd style,R5,RAVE,tigerYAMATO with ultrabeatbox,5,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,11,1655,778,99,4,EX HARD CLEAR,AAA,0,0,0,0,---,NO PLAY,---,2023-03-09 15:00
3rd style,REINCARNATION,TRANCE,dj TAKA,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2022-10-19 15:38
3rd style,Schlagwerk,BIG BEAT,TaQ,0,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,2022-10-19 15:38
3rd style,Skyscraper,EPIC HOUSE,good-cool,1,0,0,0,0,---,NO PLAY,---,4,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,1057,444,169,5,EX HARD CLEAR,AA,0,0,0,0,---,NO PLAY,---,2022-11-30 17:15
3rd style,Tangerine Stream,AMBIENT,dj TAKA,0,0,0,0,0,---,NO PLAY,---,2,0,0,0,---,NO PLAY,---,3,0,0,0,---,FULLCOMBO CLEAR,---,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2022-10-19 15:38
3rd style,THE SAFARI,WORLD HOUSE,Lion Musashi,8,2,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,10,1497,642,213,11,EX HARD CLEAR,AA,0,0,0,0,---,NO PLAY,---,0,0,0,0,---,NO PLAY,---,2023-03-16 16:08
4th style,ABSOLUTE,EPIC TRANCE,dj TAKA,2,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,8,0,0,0,---,NO PLAY,---,10,2034,881,272,4,HARD CLEAR,AA,11,2287,972,343,18,HARD CLEAR,AA,2022-12-18 15:35
4th style,B4U,SPEED RAVE,NAOKI,1,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,1673,698,277,1,EX HARD CLEAR,AA,0,0,0,0,---,NO PLAY,---,2022-12-26 16:22
4th style,Broken My Heart,HYPER EUROBEAT,NAOKI feat.PAULA TERRY,0,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,9,0,0,0,---,HARD CLEAR,---,0,0,0,0,---,NO PLAY,---,2022-10-19 15:38
4th style,DXY!,TECHNO,TaQ,1,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,9,0,0,0,---,NO PLAY,---,10,1885,775,335,28,HARD CLEAR,AA,0,0,0,0,---,NO PLAY,---,2023-03-16 16:10
4th style,era (step mix),DRUM'N'BASS,TaQ,3,0,0,0,0,---,NO PLAY,---,5,0,0,0,---,NO PLAY,---,8,1300,589,122,6,EX HARD CLEAR,AA,9,1534,691,152,8,EX HARD CLEAR,AA,0,0,0,0,---,NO PLAY,---,2023-03-01 15:13
4th style,Jam&Marmalade,WARP HOUSE,FinalOffset,2,0,0,0,0,---,NO PLAY,---,6,0,0,0,---,NO PLAY,---,7,0,0,0,---,NO PLAY,---,8,811,338,135,7,HARD CLEAR,AA,0,0,0,0,---,NO PLAY,---,2023-01-03 14:49
