タイトル,NOTES,PEAK,SCRATCH,SOF-LAN,CHARGE,CHORD,ノート数
Rave*it!! Rave*it!!,147.87,187.52,108.46,0,57.31,200.01,1656
Despair of ELFERIA,161.18,136.84,38.7,0,0,183.88,2096
PLASMA SOUL NIGHT feat. Nana Takahashi / 709sec.,175.18,128.94,98.05,0,0,183.48,2271
GO OVER WITH GLARE -ROOTAGE 26-,157.67,175,52.31,0,52.03,179.54,2000
Triple Counter,151.99,150,52.74,0,92.3,178.38,2016
Dynamite,151.31,142.11,160.01,0,121.4,177.07,1953
BITTER CHOCOLATE STRIKER,145.79,132.88,68.31,0,0,176.55,1990
Elemental Creation,161.57,153.56,58.1,0,0,174.37,2130
がっつり陰キャ!? 怪盗いいんちょの億劫^^;,179.47,151.77,103.79,0,0,170.89,2192
Chrono Diver -PENDULUMs-,174.77,155.34,27.56,0,0,169.94,2222
LIVE DRIVING!! feat. 花たん,151.07,121.04,84.81,0,0,168.71,1947
逆月,156.74,143.42,52.96,0,118.95,168.08,1920
BLUE DRAGON(雷龍RemixIIDX),142.6,142.09,106.93,0,19.36,165.55,1727
Red. by Jack Trance,150.24,139.47,185.74,0,1.86,165.5,1862
X-DEN,176.45,178.58,117.54,0,20.31,164.82,2220
Initiation,156.76,155.34,20.38,0,130.8,164.52,2018
世界の果てに約束の凱歌を -ReUnion-,155.65,151.77,52.64,0,53.97,164.38,1983
煉獄のエルフェリア,155.6,166.06,53.3,0,0,163.92,2000
THE BRAVE MUST DIE,156.97,138.16,46.88,0,93.93,163.8,2075
examination leave,150.73,115.77,29.5,0,0,163.37,1712
Say YEEEAHH,134.02,134.2,36.67,0,0,162.63,1677
VOX UP,144.88,150.01,131.56,0,0,160.39,0
嘆きの樹,155.5,167.86,48.17,0,0,160.22,2000
〆,144.01,135.51,114.05,0,10.29,159.69,0
AKASHIC BREAK,151.11,121.04,101.91,0,0,158.83,1823
G59,154.23,142.1,42.15,0,0,158.71,0
Super Rush,139.01,135.52,97.82,0,70.74,158.32,0
Smashing Wedge,158.97,151.79,103.18,0,0.92,158.31,1957
EMERALDAS,156.29,167.85,104.4,113.61,150.38,158.02,1833
DEATH†ZIGOQ ～怒りの高速爆走野郎～,176.3,162.5,91.25,0,19.85,157.72,2075
ALTERNATOR,153.25,151.78,117.85,0,100,157.51,1907
Thunderbolt,152.8,123.68,74.59,0,0,156.99,0
3y3s,145.98,185.69,115.27,0,0,156.5,1871
DARK LEGACY,142.08,142.09,39.63,0,0,155.63,0
mosaic,143.07,134.21,93.94,0,0,155.5,0
RAGE feat.H14 of LEONAIR,151.32,136.84,185.19,0,72.49,154.65,1886
voltississimo,158.31,155.34,77.65,0,91.7,154.3,1888
We're so Happy (P*Light Remix) IIDX ver.,153.98,138.15,103.83,0,0,153.93,0
Sky High,155.1,142.1,29.65,0,0,152.69,0
BEAT PRISONER,155.55,169.63,79.95,0,182.03,152.54,1844
BLACK.by X-Cross Fade,147.89,128.93,189.77,0,0,152.48,1738
Zirkfied,149.39,189.27,38.15,0,0,152.29,1968
シュレーディンガーの猫,151.59,130.26,29.58,0,0,151.85,0
神謳 -RESONANCE-,154.27,134.2,34.05,0,0,151.6,0
FUZIN RIZIN,152.13,121.05,53.43,0,0,151.42,0
バッド・スイーツ、バッド・ドリーム,145.79,126.3,153.13,0,124.49,151.27,0
ディスコルディア,165.71,185.72,47.84,100.12,187.21,151.01,2073
rommmo,143.94,126.3,66.05,0,0,150.85,0
抱きしめてモナムール,154.41,127.63,58.14,0,32.63,150.37,0
Rampage,130.2,138.14,91.17,0,18.24,150.13,0
GENE,154.54,132.89,29.4,0,0,149.96,0
Boomy and The Boost,142.61,128.94,111.04,0,49.91,149.8,0
"Life Is A Game ft.DD""ナカタ""Metal",140,150,54,0,0,149.35,0
VOLAQUAS,151.86,139.46,55.82,0,18.58,149.22,0
恋愛=精度×認識力,138.02,122.35,66.41,182.05,67.49,149.09,1756
DUAL STRIKER,154.21,128.94,51.05,0,45.46,148.81,0
轟け！恋のビーンボール！！,161.26,142.1,84.04,0,0,148.73,1834
TOMAHAWK,146.1,140.77,156.21,0,40.24,148.55,0
Idola,131.5,123.67,37.76,0,0,148.46,0
†渚の小悪魔ラヴリィ～レイディオ†(IIDX EDIT),163.43,138.15,96.18,0,0,148.03,1835
天空の夜明け,156.61,148.68,15.97,0,0,147.91,2072
卑弥呼,158.6,187.49,33.83,151.5,0,147.54,2119
Session 9 -Chronicles-,148.9,143.42,36.89,28.04,0,147.44,0
MENDES,158.88,169.64,77.83,0,0,147.36,1831
錬成人間トリコロイダー,133.16,114.47,72.17,0,0,146.81,0
hard-wired,150.93,157.14,111.18,0,65.24,146.69,0
WONDER WALKER,150.54,126.31,49.09,0,0,146.59,0
それは花火のような恋,151.41,124.99,85.42,0,0,146.47,0
Broken Sword,150.4,146.05,19.72,0,0,146.39,0
RINИE,140.57,126.31,71.01,0,0,146.28,0
Dans la nuit de l'eternite,142.51,147.36,74.32,0,0,146.01,0
quaver♪,157.37,139.48,34.84,45.71,0,145.95,1745
BLACK or WHITE?,161.61,155.35,31.61,0,112.46,145.57,2013
KAISER PHOENIX,160.84,140.78,55.43,0,0,145.5,1693
灼熱 Pt.2 Long Train Running,143.89,125,200,0,9.19,145.33,1804
儚キ戀ノ幻想譚,150.28,131.57,104.55,0,9.19,145.31,0
MEGAERA,143.44,157.15,57.2,0,22.62,145.2,0
ピアノ協奏曲第1番”蠍火” (BlackY Remix),141.43,157.13,32.09,0,114.04,145.16,0
Visterhv,148.99,144.74,27.28,0,139.42,144.97,0
PUNISHER,150.12,132.88,78.46,0,0,144.65,0
お菓子の王国,160.24,180.32,31.03,0,0,144.6,2109
SYNC-ANTHEM,145.43,128.93,33.51,36.19,0,143.76,0
255,149.19,126.3,107.49,0,0,143.57,0
BIGソムタム,135.72,123.67,85.52,0,151.8,143.48,1688
Colorful Cookie,149.83,149.99,38.77,0,0,143.28,0
GOLDEN CROSS,144.18,142.1,28.56,0,0,143.13,0
One for All,128.71,130.26,104.67,0,7.33,142.83,0
∀,148.86,151.78,61.98,0,13.57,142.68,0
IX,160.9,160.7,83.04,0,59.5,142.59,2007
Confiserie,164.15,171.43,82.34,0,0,142.56,1833
Catch Our Fire!,150.82,123.68,62.96,0,0,142.39,0
Bad Maniacs,135.98,146.04,59.82,0,0,142.25,1656
EXUSIA,153.83,132.88,69.64,0,0,142.11,0
TRIUMPH,142.41,131.58,137.16,0,156.2,141.91,0
Timepiece phase II,152.45,135.52,52.04,0,0,141.74,0
Binary Black Hole,155.11,182.11,50.88,0,153.39,141.26,2000
n/a,151.21,157.13,84.98,165.5,99.33,141.17,1867
表裏一体！？怪盗いいんちょの悩み,142.24,113.15,65.09,0,0,141.04,0
冥,150.46,180.35,26.85,183.46,0,140.96,2000
Shooting Fireball,150.69,142.1,14.94,0,0,140.89,0
No Border,145.14,136.84,20.63,0,0,140.73,0
