タイトル,NOTES,PEAK,SCRATCH,SOF-LAN,CHARGE,CHORD,ノート数
灼熱 Pt.2 Long Train Running,87.17,78.57,182.84,0,2.33,72.77,1093
BLACK.by X-Cross Fade,94.52,87.14,173.26,0,0,96.07,1111
灼熱Beach Side Bunny,80.58,79.99,172,0,0,74.95,1025
Red. by Jack Trance,90.52,84.27,169.63,0,1.86,87.03,1122
Lords Of The Roundtable,75.43,78.56,164.8,0,15.91,68.23,950
Snake Stick,91.58,81.41,164.15,0,0,52.06,1067
Red. by Full Metal Jacket,84.61,74.27,160.15,0,0,88,1062
Level 4,85.18,78.56,157.36,0,4.67,49.12,1066
Watch Out Pt.2,90.15,91.41,157.05,0,0,76.12,1029
The Chase,57.19,59.99,156.4,0,10.14,22.82,710
199024club -Re:BounceKiller-,68.04,67.13,154.73,0,0,38.02,873
SAMURAI-Scramble,65.83,71.41,154.04,0,0,61.31,865
Level 3,95.35,87.13,153.85,0,3.73,57.18,1174
Peaktime Booster,78.34,64.28,151.75,0,0,39.82,959
RAGE feat.H14 of LEONAIR,92.19,77.14,149.09,0,5.61,96.22,0
IDC feat.REVERBEE (Mo'Cuts Ver),67.92,62.84,141.17,0,2.17,51.48,0
Digitank System,66.57,64.27,139.22,0,0,48.82,0
Double Dribble,80.14,74.27,137.19,0,0,60.88,0
Don't believe the hype,86.38,81.41,135.32,0,123.14,90.66,0
Level 2,70.5,77.13,135,0,13.27,28.34,0
CHECKING YOU OUT,46.11,52.85,134.59,51.8,0,9.17,0
Skreaming for Salvation,85.13,87.14,132.98,0,36.7,80.82,0
naughty girl@Queen's Palace,73.53,68.57,130.13,0,0,57.83,0
LOCUS OF THE TRAVEL,103.12,87.13,129.52,0,99.83,69.16,0
THE PEERLESS UNDER HEAVEN,86.07,82.84,129.52,0,0,43.75,0
Dynamite,96.54,81.42,127.94,0,24.52,103.93,0
Level One,90.78,85.69,127.19,0,52.02,83.9,0
Macho Monky,89.93,91.41,125.39,0,1.86,74.75,0
Beat Juggling Mix,68.77,92.85,121.29,100.48,0,48.22,0
雪上断火,71.67,71.41,120.74,54.54,0,64.43,0
VOLCANIC BIGBEAT,74.13,68.56,119.41,0,0,49.8,0
TOMAHAWK,96.99,97.14,116.3,0,6.7,90,0
VOX UP,114.11,126.3,115.08,0,0,117.4,0
WHA,97.62,90,112.88,0,5.14,60.62,0
Plan 8,89.67,89.99,112.45,0,0,91.71,0
Really Love,40.52,44.27,111.78,0,0,6.99,0
SCREW // owo // SCREW,90.76,92.85,110.76,0,4.99,89.63,0
火影,60.84,52.85,107.47,0,0,21.28,0
Sense 2007,96.31,125,106.24,0,0,96.34,0
灼熱Beach Side Bunny (Masayoshi Iimori Remix),49.09,57.13,105.02,0,0,18.65,0
X-DEN,113.03,119.73,104.33,0,11.69,82.88,0
Concertino in Blue,88.11,89.99,103.46,152.83,0,60.66,0
とろぴかる倶楽部,65.06,89.99,102.46,0,0,58.75,0
Watch out!!,45.41,44.27,102.33,0,0,6.88,0
rottel-da-sun,75.82,72.85,100.8,0,0,51.45,0
WAR GAME,61.8,61.41,99.3,0,0,38.71,0
Theory,57.59,54.26,99.13,139.04,0,18.22,0
OVER VOLTAGE,71.16,71.42,98.7,0,23.89,40.34,0
TROOPERS,101.05,92.85,98.69,0,0,102.81,0
Purple Perplex,78.67,85.7,96.92,0,85.46,53.33,0
Rave*it!! Rave*it!!,77.05,80,96.29,0,0,85.25,0
route 80s,63.71,57.14,94.5,0,0,44.19,0
hard-wired,95.91,97.13,93.71,0,0,89.31,0
DEADHEAT,88.85,84.26,93.52,0,0,57.93,0
Drop It,84.86,69.99,92.85,0,10.93,26.86,0
Midnight Drive,54.55,49.99,92.47,59.82,19.36,24.66,0
EMERALDAS,107.34,105.25,92.01,101.01,100.3,98.08,0
Feel The Beat,89.66,85.69,92.01,0,0,59.86,0
BLUE DRAGON(雷龍RemixIIDX),95.69,98.56,89.63,0,9.99,102.81,0
Halfway of promise,65.18,65.7,89.39,0,0,51.14,0
BRAINSTORM,80.28,71.41,87.29,0,0,41.53,0
BroGamer,82.72,76.9,87.19,0,0,85.71,0
sakura storm,73.78,58.56,86.81,0,24.52,55.7,0
POLKAMANIA,78.51,67.13,86.29,0,4.36,33.48,0
Bounce Bounce Bounce,67.82,64.28,85.34,0,0,50.33,0
FIRE FIRE,71.88,71.41,85.32,0,0,46.14,0
PLASMA SOUL NIGHT feat. Nana Takahashi / 709sec.,104.88,88.56,85.09,0,0,82.52,0
即席！脳直★ミュージックシステム,83.2,72.84,84.57,0,0,58.76,0
Routing,71.24,64.28,84.49,0,0,55.28,0
VANESSA,97.09,102.62,84.46,0,0,46.97,0
Just a Little Smile,54.98,52.84,84.46,0,0,34.46,0
Push on Beats!～音ゲの国のeX-ストリーマー～,84.59,81.41,83.54,61.66,0,43.4,0
か・し・ま・し☆PUMP UP！,75.06,67.13,83.21,0,0,27.1,0
ALTERNATOR,103.61,92.84,83.16,0,41.91,104.67,0
Beyond The Earth,79.74,82.84,82.24,0,0,64.58,0
STARLiGHT,71.71,68.57,81.92,0,0,51.75,0
255,73.26,64.27,81.72,0,0,37.74,0
Jungle Eater,74.75,64.28,80.97,0,0,48.26,0
ハイテックトキオ,79.57,67.14,80.45,0,49.52,22.74,0
ATHER,68.04,60,80.35,0,0,30.04,0
Hello Happiness,81.95,71.42,80.21,0,0,38.28,0
Non Stop Rock,56.87,67.13,80.16,0,16.24,34.82,0
開きたまえ！Next stAge！,67.62,61.41,80.11,0,0,32.53,0
Catch Me,60.07,59.99,80.05,0,0,34.63,0
THE DEEP STRIKER,93.4,82.84,79.89,0,0,78.88,0
one or eight,98.99,102.63,79.82,0,0,60.97,0
Xperanza,97.25,87.13,79.55,0,25.6,95.42,0
27th style,72.25,68.56,79.41,0,0,41.08,0
†渚の小悪魔ラヴリィ～レイディオ†(IIDX EDIT),76.53,75.71,79.28,0,0,47.82,0
Innocent Walls,103.97,142.09,79.25,0,0,90.34,1281
MENTAL MELTDOWN,96.74,82.84,79.1,0,0,63.97,0
One for All,71.75,84.28,78.72,0,2.49,71.79,0
俺ら東京さ行ぐだ,56.9,58.57,78.12,35.51,0,27.28,0
Do Back Burn,69.72,59.99,77.46,0,42.18,31.74,0
Spin the disc,68.6,61.42,77.37,0,0,35.01,0
C-C-C-N-N-N,74.31,90,77.18,21.15,0,73.7,0
Smashing Wedge,92.77,92.84,77.01,0,0,69.35,0
PARADISE LOST,91.2,103.93,76.98,0,53.75,65.71,0
Evans,102.05,111.84,76.94,0,0,97.49,0
がっつり陰キャ!? 怪盗いいんちょの億劫^^;,114.9,88.56,76.6,0,0,101.24,0
焔極OVERKILL,89.02,88.57,76.57,0,0,57.19,0
We're so Happy (P*Light Remix) IIDX ver.,96.45,98.57,76.36,0,0,85.74,0
Inner Spirit,77.6,72.84,75.77,0,0,40.61,0
SWEET LAB,51.46,57.13,75.59,0,0,24.69,0
passionate fate,72.46,72.84,75.51,0,0,71.56,0
B.O.D.Y.,94.3,80,74.76,0,35.77,47.1,0
B4U,80.24,82.84,74.44,0,0,41.37,0
バッド・スイーツ、バッド・ドリーム,73.83,72.84,73.58,0,47.8,52.79,0
GALGALIM,91.87,91.41,73.01,0,0,58.07,0
Do it!! Do it!!,71.41,94.27,72.69,0,0,61.75,0
それは花火のような恋,101.23,91.42,72.59,0,0,77.77,0
The Rebellion of Sequencer,93.67,81.41,72.51,0,2.8,52.76,0
水鏡の異界,73.5,64.28,72.28,0,63.11,42.86,0
m1dy Deluxe,77.3,64.28,72.26,0,0,15.64,0
Piano Samurai,70.91,68.56,72.18,0,0,49.38,0
Smalt #28598F,95.79,74.27,72.01,0,0,66.17,0
kors k's How to make OTOGE CORE 「LONG」,92.51,77.13,71.5,0,24.67,83.78,0
10000 MILES AWAY,66.53,62.84,71.39,0,53.11,45.56,0
金野火織の金色提言,95.51,88.56,70.72,0,13.42,83.67,0
ZEИITH,86.04,71.42,70.67,0,0,63.88,0
FANTASTIC THREE,93.99,95.71,70.46,0,0,58.47,0
Close my Eyes for Me,59.75,68.57,70.36,26.92,0,39.8,0
Everlasting Message,96.73,102.63,70.07,0,72.06,70.52,0
MAD ATTACK,63,77.14,69.21,0,0,42.89,0
罠,66.42,69.99,69.14,0,0,42.28,0
儚キ戀ノ幻想譚,97.17,81.41,69.04,0,1.86,70.7,0
デッドボヲルdeホームラン,74.22,79.99,69.02,0,0,57.99,0
Aegis,65.22,65.71,68.91,0,28.3,35.71,0
ONIGOROSHI,89.99,80,68.69,0,53.42,64.28,0
LOUDER ROLLING THUNDER,85.96,72.85,67.56,0,26.23,61.4,0
Rampage,89.4,81.41,67.35,0,0.45,101.54,0
100％ minimoo-G,72.29,72.85,67.13,0,0,19.99,0
STARLIGHT DANCEHALL,80.82,72.85,67.1,0,0,71.26,0
Blue Spring Express,92.57,85.71,67.01,0,0,47.69,0
ONE AND ONLY,70.42,82.85,66.99,0,0,37.23,0
駅猫のワルツ,103.62,103.93,66.86,0,0,41.84,0
SOLID STATE SQUAD,86.45,91.41,66.8,0,0,73.92,0
表裏一体！？怪盗いいんちょの悩み,88.31,71.41,66.8,0,0,62.82,0
めでてえ,69.73,59.99,66.78,0,0,36.25,0
BIGソムタム,77.5,72.84,66.77,0,45.62,54.95,0
Sakura Mirage,63.05,64.28,66.65,0,0,12.5,0
Papilio ulysses,86.3,81.4,66.37,0,28.16,25.34,0
& Intelligence,89.71,75.71,65.84,0,15.3,38.61,0
SAY BAY,63.76,71.42,65.67,0,13.58,32.6,0
Victory Of Ravers,77.37,68.56,65.58,0,16.39,61.25,0
Regulus,69.4,71.41,65.44,36.85,0,37.89,0
NEW GENERATION -もう、お前しか見えない-,80.34,84.28,65.42,0,0,53.37,0
RINИE,93.24,80,65.29,0,0,97.16,0
Antigravity,88.8,80,65.14,0,39.99,52.93,0
Secrets,101.76,89.99,65.09,0,0,89.41,0
Confiserie,98.4,81.41,64.68,0,0,54.19,0
BEAT PRISONER,91.41,79.99,64.57,0,106.82,66.47,0
Be a Hero!,77.29,69.99,64.36,0,0,44.32,0
BRAVE GLOW,69.32,68.56,64.05,0,0,47.8,0
Venom,86.15,81.41,63.89,0,0,59.76,0
"You'll say ""Now!""",93.68,99.98,63.85,0,0,42.1,0
ANCHOR,101.56,97.13,63.76,0,62.26,80.81,0
Go Beyond!!,74.17,101.3,63.71,0,0,81.21,0
INVISIBLE STRIX,82.37,82.85,63.69,0,0,71.89,0
In the Blackest Den,71.31,67.13,63.15,0,0,15.12,0
Wonder Bullfighter,58.69,69.99,62.97,0,0,32.53,0
ラクエン,39.48,57.13,62.96,38.84,0,11.3,0
Medicine of love,54.75,54.27,62.92,0,0,47.23,0
バ→ビ→ブ→Bomb!,75.84,64.28,62.85,0,0.92,52.38,0
Frisk And Squeak,65.43,67.13,62.49,0,0,17.54,0
BITTER CHOCOLATE STRIKER,83.66,81.42,62.44,0,0,69.36,0
Little Star,74.41,65.69,62.32,0,0,68.36,0
Cheer Train,55.51,49.99,62.32,0,0,20.35,0
Time to Air,88.3,85.7,62.27,0,0,74.1,0
AO-1,92.52,84.27,62.07,0,78.34,65.53,0
n/a,83.27,78.57,61.97,111.34,21.55,52.6,0
250bpm,60.57,55.7,61.84,0,0,26.9,0
AKASHIC BREAK,103.05,91.41,61.6,0,0,93.67,0
真 地獄超特急 -HELL or HELL-,86,81.42,61.38,0,118.84,70.39,0
DOMINION,94.65,84.28,61.21,0,0,81.67,0
Distress,75.92,110.52,60.8,0,0,64.31,0
outer wall,66.33,61.42,60.5,0,0,39.12,0
SCREAM SQUAD,76.54,84.27,60.32,0,0,38.12,0
Overload Frontier,75.13,74.27,60.25,0,0,54.54,0
SINOBUZ Fantasy,67.28,72.84,59.94,0,0,44.22,0
東京神話,77.08,69.99,59.6,0,0,36.92,0
SWEETEST SAVAGE,61.87,72.84,59.54,0,0,31.8,0
METALLIC MIND,68.23,75.7,59.52,0,0,59.79,0
NITROUS CANNON,80.46,74.27,59.45,0,4.99,35.53,0
Debtty Daddy,76.88,64.27,59.45,0,0,45.29,0
SPECIAL SUMMER CAMPAIGN!,77.25,64.28,59.44,0,0,58.86,0
OTENAMI Hurricane,91.66,95.71,59.42,0,0,67.52,0
ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),80.9,67.13,59.3,0,16.86,47.23,0
星をこの手に,80.67,67.14,59.22,0,0,52.02,0
Make Me Your Own,68.28,72.84,58.91,0,0,53.87,0
Empire of Fury,91.58,82.85,58.9,0,0,63.64,0
EXUSIA,111.02,100,58.79,0,0,82.94,0
Y&Co. is dead or alive,72.74,61.41,58.69,90.06,0,47.74,0
gigadelic,84.67,121.04,58.57,0,0,61.01,0
Like+it!,87.71,72.84,58.48,0,0,47.03,0
オレはビートマニア！お前は何マニア？,61.82,55.7,58.44,0,0,26.51,0
Tropical April,94.61,88.57,58.12,0,0,93.63,0
Click Again,62.49,54.27,58.06,0,0,43.94,0
KILL EACH OTHER,94.43,94.28,57.95,0,0,54.43,0
もっと！モット！ときめき feat. 松下,79.38,68.56,57.78,0,5.14,36.07,0
ハードベース・フェスタ,73.93,67.14,57.46,0,0,41.27,0
Modular Technology,88.99,74.27,57.35,0,0,31.67,0
New Decade IIDX Edition,84.73,69.99,57.35,0,0,47.21,0
ミラージュ・レジデンス,86.31,87.13,57.33,0,0,82.54,0
BLUE MIRAGE,91.27,74.28,57.29,0,0,45.97,0
Beastie Starter,58.95,72.84,57.18,0,0,24.37,0
THE DETONATOR,87.24,79.99,56.92,0,0,96.18,0
The Clown of 24stairs,106.55,85.7,56.89,0,0,78.17,0
Flash Back 90's,74.44,67.13,56.82,0,0,38.25,0
SCHWARZSCHILD FIELD,77.98,67.14,56.8,0,0,34.27,0
桜,79.66,82.84,56.7,147.03,0,54.78,0
TA・DA ☆ YO・SHI,67.66,59.99,56.31,0,0,23.33,0
Swarm Of Scarabs,70.44,61.41,56.3,0,14.36,35.63,0
儚き恋の華,77.99,69.99,56.03,0,0,54.25,0
白露の風,52.84,52.85,56.03,0,0,19.24,0
Lovely Howdy Cowboy!!,78.15,68.57,55.96,0,14.05,46.07,0
口カラ凸ゲキ,63.63,59.99,55.95,0,11.24,22.32,0
Banger Banger Banger Banger,74.88,70,55.93,0,0,51.66,0
1001 -ESCAPE-,66.98,62.84,55.78,0,0,61.67,0
ミュージック・アワー,86.97,67.13,55.52,0,0.45,84.47,0
eRAseRmOToRpHAntOM,91.79,97.14,55.39,51.08,0,87.07,0
Xlo,104.85,89.99,55.05,0,24.27,55.7,0
D2R,68.51,58.57,55.04,0,0,23.83,0
SAMSARA,56.27,57.13,54.97,0,0,17.19,0
TRIP MACHINE PhoeniX,88.06,81.42,54.84,56.06,0,66.85,0
Re:GENERATION,66.16,67.14,54.75,0,0,31.1,0
Globe Glitter,70.1,59.99,54.74,0,0,45.42,0
Red Soul,73.93,70,54.73,0,0,38.39,0
GiGaGaHell,88.68,87.13,54.6,0,0,49.48,0
Rosa azuL,79.76,64.28,54.6,0,0,34.66,0
Darling my LUV,44.54,47.13,54.52,0,0,16.22,0
Feedback,68.54,67.14,54.35,0,0,35.64,0
雪月花,83.86,90,54.29,0,0,49.49,0
Para siempre,60.75,59.99,54.13,0,20.61,36.2,0
With You,64.57,58.56,54.03,0,0,48.01,0
Please Welcome Mr.C,78.95,70,54,0,3.27,17.54,0
AO-∞,75.02,78.57,53.97,0,0,50.15,0
Ah Hah Yeah,65.85,59.99,53.97,104.35,0,48.23,0
Back Spin Sweeper,57.09,65.7,53.95,0,28.79,28.77,0
童話回廊,79.7,78.56,53.89,0,0,35.25,0
あるビー！ feat.ころねぽち,72.29,65.7,53.83,0,23.11,36.79,0
Somebody Like You,52,48.56,53.76,0,0,33.24,0
ROTTERDAM SHOGUN,79.56,64.27,53.6,0,32.49,53.65,0
Exhaust Hype,78.52,67.14,53.52,0,0,60.81,0
HAPPY★RUSH,78.31,75.7,53.45,0,0,56.97,0
Ristaccia,74.94,78.57,53.43,0,0,52.5,0
The Sampling Paradise,79.17,69.99,53.37,0,3.89,28.6,0
LIVE DRIVING!! feat. 花たん,98.95,78.57,53.14,0,0,106.38,0
Invitation from Mr.C,71.95,70,53.06,0,5.92,41.74,0
Agnus Dei,75.35,80,52.95,85.91,0,52.41,0
ガヴリールドロップキック,69.86,67.14,52.92,85.28,5.92,43.61,0
Illusionary Waterlily,92.76,89.99,52.83,0,11.78,40.4,0
Burning Flame,77.86,64.27,52.77,0,0,40.61,0
Viridian,84.01,68.57,52.69,0,18.58,32.98,0
ぷろぐれっしぶ時空少女！うらしまたろ子ちゃん！,61.41,57.14,52.66,0,0,47.98,0
Volcanic Dragon,71.01,61.42,52.64,0,0,49.37,0
Bloody Tears(IIDX EDITION),88.95,84.27,52.51,0,0,77.9,0
bloomin' feeling,95.35,80,52.44,0,36.56,97.21,0
Sol Cosine Job 2,72.25,84.28,52.4,30.92,0.45,37.17,0
Next Level,68.29,62.84,52.38,0,15.45,38.97,0
お米の美味しい炊き方、そしてお米を食べることによるその効果。,67.76,72.84,52.29,0,0,24.54,0
Reflux,66.26,60,52.26,0,39.05,32.28,0
Destiny Sword,85.93,67.13,52.23,0,0,52.01,0
DropZ-Line-,88.61,80,52.19,117.31,3.27,46.54,0
DEATH†ZIGOQ ～怒りの高速爆走野郎～,108.38,98.56,52.15,0,4.19,76.67,0
Xyndrome,68.97,65.7,52.03,0,29.28,57.7,0
ALL I NEED YOUR LOVE,70.83,88.56,52.01,0,0,41.09,0
MA・TSU・RI,81.51,65.7,52,0,3.74,48.02,0
魅惑のYUMMYスイーツ,74.01,74.28,51.78,0,42.27,63.67,0
New Lights,72.18,67.14,51.5,0,0,63.06,0
2 Beasts Unchained,96.29,81.42,51.47,0,17.64,64.2,0
Donkey Donk,71.59,68.56,51.45,0,108.5,39.6,0
smile,82.18,77.13,51.38,0,0,68.23,0
Be quiet,75.04,80,51.36,0,0,50.12,0
Catch Our Fire!,94.89,77.13,51.3,0,0,58.99,0
anthracene,77.76,68.56,51.13,0,37.65,44.45,0
Dans la nuit de l'eternite,89.78,92.85,51.05,0,0,85.38,0
夏色DIARY - L.E.D.-G STYLE MIX -,87.93,79.99,50.94,0,40.71,34.81,0
Go Ahead!!,64.23,85.7,50.85,0,27.17,45.53,0
STEEL NEEDLE,92.94,91.41,50.74,0,0,70.28,0
轟け！恋のビーンボール！！,89.11,74.27,50.67,0,0,71.95,0
Golden Palms,60.53,59.99,50.61,0,63.8,38.03,0
UMMU,86.91,70,50.28,0,48.94,38.93,0
