タイトル,NOTES,PEAK,SCRATCH,SOF-LAN,CHARGE,CHORD,ノート数
ABSOLUTE,113.11,105.25,23.33,97.5,172.15,102.75,1412
AGEHA,99.55,106.56,88.3,0,73.96,111.54,1232
AIR RAID FROM THA UNDAGROUND,123.06,127.63,19.41,0,0,109.42,1523
Amazing Mirage,136.68,127.63,104.79,0,11.69,138,1684
Ancient Scapes,169.73,147.36,65.4,0,0,154.44,2198
"Anisakis -somatic mutation type""Forza""-",139.19,151.77,61.73,0,0,175.84,1971
Arabian Rave Night,150.48,140.79,35.96,0,0,134.7,1888
B4U(BEMANI FOR YOU MIX),183.49,151.78,82.44,0,0,191.18,2360
Bahram Attack-猫叉Master Remix-,119.34,126.3,51.95,0,0,136.94,1640
Be OK,135.47,107.88,55.84,0,0,125.8,1679
Be quiet,122.78,121.04,173.1,0,8.26,125.13,1463
Beat Radiance,160.56,130.26,64.74,0,0,183.79,1809
Blue Rain,143.03,151.78,21.41,0,0,140.91,1702
BroGamer,179.32,155.35,144.66,0,0,200,2383
Buffalo,123.43,109.2,107.27,0,0,114.43,1287
Burning Flame,144.04,112.89,96.7,0,0,129.35,1938
chrono diver -fragment-,91.16,82.84,15.81,0,0,107.48,1134
CHRONO DIVER -NORNIR-,178.95,138.14,47.43,0,22.02,193.8,2233
Chronos,131.84,109.22,73.69,0,9.35,133.23,1538
Clione,88.25,100,12.82,0,132.78,71.53,1102
Close the World feat.a☆ru,163.71,143.42,80.71,0,0,160.17,1983
CONTRACT,131.98,157.14,56.27,0,0,115.05,1418
Cosmic Cat,128.46,135.51,48.17,0,97.58,146.11,1651
Damage Per Second,98.06,88.57,36.55,0,43.75,105.74,1153
EBONY & IVORY,180.7,171.43,36.39,106.67,75.1,153.45,1887
Feel The Beat,176.21,189.27,106.12,0,0,172.96,2225
Flash Back 90's,113.52,117.09,63.57,0,0,110.63,1470
Ganymede,102.09,136.84,17.53,36.58,0,84.13,1356
GIGANT,139.12,110.51,56,0,175.86,134.12,1484
Golden Palms,99.01,94.28,55.26,0,174.27,100.5,1240
GRID KNIGHT,134.09,122.35,36.4,0,0,151.09,1744
GuNGNiR,180.99,178.57,96.39,0,10.45,165.99,2443
Hitch Hiker2,88.81,87.14,60.32,0,0,85.57,976
Howling,118.29,101.3,98.95,0,0,107.91,1350
Hydrogen Blueback,108.18,107.88,172.68,0,0,102.02,1241
ICARUS,149.24,176.78,65.23,189.41,0,173.03,2000
Illegal Function Call,160.14,173.21,43.31,0,0,119.99,2023
invoker,143.14,139.46,123.82,0,0,131.44,1851
Journey,129.62,117.09,11.9,0,0,140.26,1585
KAISER PHOENIX,191.88,164.27,55.42,0,0,177.68,2026
KAMAITACHI,163.14,191.07,117,0,0,158.86,2000
Kung-fu Empire,147.47,118.42,46.21,0,0,147.66,1999
Little Little Princess,152.19,155.35,44.44,39.58,0,163.74,1946
LOVE IS ORANGE,99.19,88.56,23.19,0,0,97.36,1059
LUV CAN SAVE U,110.37,95.7,27.95,0,69.75,116.65,1409
Marie Antoinette,124.49,125,52.68,91.19,0,142.86,1618
Mind Mapping,97.26,85.7,68.68,0,0,110.54,1135
naughty girl@Queen's Palace,116.76,103.94,153.77,0,0,123.69,1380
NEW GENERATION -もう、お前しか見えない-,154.25,175,83.08,0,0,146.03,1895
NΦ CRIME,113.88,101.31,30.82,0,0,104.51,1211
Override,176.49,153.58,71.38,0,0,181.14,2204
Phoenix,175.08,173.21,51.73,0,11.24,158.47,2027
POODLE,138.37,107.88,51.37,0,119.07,134.38,1707
Psycho Sheep Riddim,95.22,103.93,124.36,0,125.59,108.41,1150
QUANTUM TELEPORTATION,138.01,139.46,40.86,0,0,131.14,1845
RED ZONE,142.62,115.78,58.38,0,2.33,129.48,1566
REVOLVER,159.15,136.83,78.46,0,179.23,130.7,1731
RIDE ON THE LIGHT (HI GREAT MIX),87.19,95.7,30.01,0,153.3,46.75,931
RUGGED ASH,127.41,125,58.78,0,0,86.38,1058
SAMURAI-Scramble,119.95,121.04,200,0,0,120.87,1576
Scripted Connection⇒ A mix,139.18,155.34,34.78,0,0,117.9,1749
Secrets,171.44,146.05,123.82,0,0,183.19,2116
Sigmund,184.58,157.14,88.69,0,111.84,152.58,2267
snow storm,126.53,117.09,10.23,0,0,116.42,1709
SOLID STATE SQUAD,135.95,140.78,82.7,0,120.72,146.26,1868
spiral galaxy,143.07,122.36,25.09,0,0,128.82,1910
STARLIGHT DANCEHALL,147.36,132.89,128.74,0,0,144.51,1712
STEEL NEEDLE,139.65,151.77,45.45,0,0,135.62,1701
Sweet Clapper,122.06,118.41,36.52,0,39.33,134.57,1485
THANK YOU FOR PLAYING,142.23,127.62,22.96,80.33,0,117.66,1534
THE DEEP STRIKER,144,135.52,80.24,0,0,160.69,1788
The Limbo,171.6,200,49.78,0,0,177.59,2190
the trigger of innocence,115,94.28,9.67,0,0,134.24,1558
thunder HOUSE NATION Remix,159.45,127.63,17.84,0,0,176.21,1954
Time to Air,155.53,182.14,119.62,0,0,186.45,1888
TITANS RETURN,128.37,123.68,73.36,146,175.27,111.24,1377
TRANOID,162.4,157.14,43.68,61.66,153.45,124.45,1546
Twelfth Style,132.21,187.51,69.77,0,0,135.52,1684
Ubertreffen,164.23,143.42,41.27,0,0,133.32,1655
Umbral,126.1,115.77,23.45,0,177.13,124.55,1566
VANESSA,182.75,160.71,111.19,0,0,169.11,1771
Verflucht,199.99,198.2,59.23,0,17.82,187.48,2401
Wanna Party?,123.57,127.62,20.08,0,0,141.04,1300
waxing and wanding,167.43,176.78,37.87,0,0,188.03,2000
Welcome,131.24,134.22,99.5,0,121.43,146.12,1701
WISE UP!,125.64,109.2,17.32,0,0,125.69,1320
Ypsilon,146.23,123.68,34.29,0,0,131.68,1801
ZEPHYRANTHES,155.75,147.37,45.82,0,20.4,132.35,1982
ΕΛΠΙΣ,147.11,130.27,20.24,0,53.42,114.25,1852
おおきなこえで,85.6,82.85,11.38,0,83.9,90.59,1095
お米の美味しい炊き方、そしてお米を食べることによるその効果。,158.97,148.68,72.95,0,0,138.98,1907
シル・ヴ・プレジデント,135.35,119.72,44.77,0,0,134.12,1299
デモーニッシュ,144.84,164.28,16.68,77.61,0,146.03,1580
ハイテックトキオ,134.55,111.83,103.78,0,120.07,112.07,1657
ベィスドロップ・フリークス,108.38,101.3,164.52,0,40.76,103.35,1275
ミラージュ・レジデンス,131.89,119.73,56.75,0,193.18,137.9,1676
仮想空間の旅人たち,149.92,155.35,15.73,0,0,155.73,1943
華爛漫 -Flowers-,147.01,132.89,35.53,0,0,145.19,1597
君のハートにロックオン,143.8,142.09,28.63,0,0,122.54,1828
疾風迅雷,154.29,182.13,135.18,0,42.06,133.1,1824
千年ノ理,168.07,178.56,21.35,0,133.36,198.03,2183
超青少年ノ為ノ超多幸ナ超古典的超舞曲,168.1,155.35,11.04,0,0,166.01,2110
冬椿 ft. Kanae Asaba,123.02,106.57,46.7,0,0,113.71,1535
